"COMPONENT","STATUS","LOGICAL-CLOCK-TIMESTAMP"
"DoorSensor","false","30938"
"MotionSensor","motion-detected","30944"
"DoorSensor","false","30947"
"MotionSensor","motion-detected","30953"
"DoorSensor","false","30956"
"MotionSensor","motion-detected","30962"
"DoorSensor","false","30965"
"MotionSensor","motion-detected","30971"
"DoorSensor","false","30974"
"MotionSensor","motion-detected","30980"
"DoorSensor","false","30983"
"MotionSensor","motion-detected","30989"
"DoorSensor","false","30992"
"MotionSensor","motion-detected","30998"
"DoorSensor","false","31001"
"MotionSensor","motion-detected","31007"
"DoorSensor","false","31010"
"MotionSensor","motion-detected","31016"
"DoorSensor","false","31019"
"MotionSensor","motion-detected","31025"
"DoorSensor","false","31028"
"MotionSensor","motion-detected","31034"
"DoorSensor","false","31037"
"MotionSensor","motion-detected","31043"
"DoorSensor","false","31046"
"MotionSensor","motion-detected","31052"
"DoorSensor","false","31055"
"MotionSensor","motion-detected","31061"
"DoorSensor","false","31064"
"MotionSensor","motion-detected","31070"
"DoorSensor","false","31073"
"MotionSensor","motion-detected","31079"
"DoorSensor","false","31082"
"MotionSensor","motion-detected","31088"
"DoorSensor","false","31091"
"MotionSensor","motion-detected","31097"
"DoorSensor","false","31100"
"MotionSensor","motion-detected","31106"
"DoorSensor","false","31109"
"MotionSensor","motion-detected","31115"
"DoorSensor","false","31118"
"MotionSensor","motion-detected","31124"
"DoorSensor","false","31127"
"MotionSensor","motion-detected","31133"
"DoorSensor","false","31136"
"MotionSensor","motion-detected","31142"
"DoorSensor","false","31145"
"MotionSensor","motion-detected","31151"
"DoorSensor","false","31154"
"MotionSensor","motion-detected","31160"
"DoorSensor","false","31163"
"MotionSensor","motion-detected","31169"
"DoorSensor","false","31172"
"MotionSensor","motion-detected","31178"
"DoorSensor","false","31181"
"MotionSensor","motion-detected","31187"
"DoorSensor","false","31190"
"MotionSensor","motion-detected","31196"
"DoorSensor","false","31199"
"MotionSensor","motion-detected","31205"
"DoorSensor","false","31208"
"MotionSensor","motion-detected","31214"
"DoorSensor","false","31217"
"MotionSensor","motion-detected","31223"
"DoorSensor","false","31226"
"MotionSensor","motion-detected","31232"
"DoorSensor","false","31235"
"MotionSensor","motion-detected","31241"
"DoorSensor","false","31244"
"MotionSensor","motion-detected","31250"
"DoorSensor","false","31253"
"MotionSensor","motion-detected","31259"
"DoorSensor","false","31262"
"MotionSensor","motion-detected","31268"
"DoorSensor","false","31271"
"MotionSensor","motion-detected","31277"
"DoorSensor","false","31280"
"MotionSensor","motion-detected","31286"
"DoorSensor","false","31289"
"MotionSensor","motion-detected","31295"
"DoorSensor","false","31298"
"MotionSensor","motion-detected","31304"
"DoorSensor","false","31307"
"MotionSensor","motion-detected","31313"
"DoorSensor","false","31316"
"MotionSensor","motion-detected","31322"
"DoorSensor","false","31325"
"MotionSensor","motion-detected","31331"
"DoorSensor","false","31334"
"MotionSensor","motion-detected","31340"
"DoorSensor","false","31343"
"MotionSensor","motion-detected","31349"
"DoorSensor","false","31352"
"MotionSensor","motion-detected","31358"
"DoorSensor","false","31361"
"MotionSensor","motion-detected","31367"
"DoorSensor","false","31370"
"MotionSensor","motion-detected","31376"
"DoorSensor","false","31379"
"MotionSensor","motion-detected","31385"
"DoorSensor","false","31388"
"MotionSensor","motion-detected","31394"
"DoorSensor","false","31397"
"MotionSensor","motion-detected","31403"
"DoorSensor","false","31406"
"MotionSensor","motion-detected","31412"
"DoorSensor","false","31415"
"MotionSensor","motion-detected","31421"
"DoorSensor","false","31424"
"MotionSensor","motion-detected","31430"
"DoorSensor","false","31433"
"MotionSensor","motion-detected","31439"
"DoorSensor","false","31442"
"MotionSensor","motion-detected","31448"
"DoorSensor","false","31451"
"MotionSensor","motion-detected","31457"
"DoorSensor","false","31460"
"MotionSensor","motion-detected","31466"
"DoorSensor","false","31469"
"MotionSensor","motion-detected","31475"
"DoorSensor","false","31478"
"MotionSensor","motion-detected","31484"
"DoorSensor","false","31487"
"MotionSensor","motion-detected","31493"
"DoorSensor","false","31496"
"MotionSensor","motion-detected","31502"
"DoorSensor","false","31505"
"MotionSensor","motion-detected","31511"
"DoorSensor","false","31514"
"MotionSensor","motion-detected","31520"
"DoorSensor","false","31523"
"MotionSensor","motion-detected","31529"
"DoorSensor","false","31532"
"MotionSensor","motion-detected","31538"
"DoorSensor","false","31541"
"MotionSensor","motion-detected","31547"
"DoorSensor","false","31550"
"MotionSensor","motion-detected","31556"
"DoorSensor","false","31559"
"MotionSensor","motion-detected","31565"
"DoorSensor","false","31568"
"MotionSensor","motion-detected","31574"
"DoorSensor","false","31577"
"MotionSensor","motion-detected","31583"
"DoorSensor","false","31586"
"MotionSensor","motion-detected","31592"
"DoorSensor","false","31595"
"MotionSensor","motion-detected","31601"
"DoorSensor","false","31604"
"MotionSensor","motion-detected","31610"
"DoorSensor","false","31613"
"MotionSensor","motion-detected","31619"
"DoorSensor","false","31622"
"MotionSensor","motion-detected","31628"
"DoorSensor","false","31631"
"MotionSensor","motion-detected","31637"
"DoorSensor","false","31640"
"MotionSensor","motion-detected","31646"
"DoorSensor","false","31649"
"MotionSensor","motion-detected","31655"
"DoorSensor","false","31658"
"MotionSensor","motion-detected","31664"
"DoorSensor","false","31667"
"MotionSensor","motion-detected","31673"
"DoorSensor","false","31676"
"MotionSensor","motion-detected","31682"
"DoorSensor","false","31685"
"MotionSensor","motion-detected","31691"
"DoorSensor","false","31694"
"MotionSensor","motion-detected","31700"
"DoorSensor","false","31703"
"MotionSensor","motion-detected","31709"
"DoorSensor","false","31712"
"MotionSensor","motion-detected","31718"
"DoorSensor","false","31721"
"MotionSensor","motion-detected","31727"
"DoorSensor","false","31730"
"MotionSensor","motion-detected","31736"
"DoorSensor","false","31739"
"MotionSensor","motion-detected","31745"
"DoorSensor","false","31748"
"MotionSensor","motion-detected","31754"
"DoorSensor","false","31757"
"MotionSensor","motion-detected","31763"
"DoorSensor","false","31766"
"MotionSensor","motion-detected","31772"
"DoorSensor","false","31775"
"MotionSensor","motion-detected","31781"
"DoorSensor","false","31784"
"MotionSensor","motion-detected","31790"
"DoorSensor","false","31793"
"MotionSensor","motion-detected","31799"
"DoorSensor","false","31802"
"MotionSensor","motion-detected","31808"
"DoorSensor","false","31811"
"MotionSensor","motion-detected","31817"
"DoorSensor","false","31820"
"MotionSensor","motion-detected","31826"
"DoorSensor","false","31829"
"MotionSensor","motion-detected","31835"
"DoorSensor","false","31838"
"MotionSensor","motion-detected","31844"
"DoorSensor","false","31847"
"MotionSensor","motion-detected","31853"
"DoorSensor","false","31856"
"MotionSensor","motion-detected","31862"
"DoorSensor","false","31865"
"MotionSensor","motion-detected","31871"
"DoorSensor","false","31874"
"MotionSensor","motion-detected","31880"
"DoorSensor","false","31883"
"MotionSensor","motion-detected","31889"
"DoorSensor","false","31892"
"MotionSensor","motion-detected","31898"
"DoorSensor","false","31901"
"MotionSensor","motion-detected","31907"
"DoorSensor","false","31910"
"MotionSensor","motion-detected","31916"
"DoorSensor","false","31919"
"MotionSensor","motion-detected","31925"
"DoorSensor","false","31928"
"MotionSensor","motion-detected","31934"
"DoorSensor","false","31937"
"MotionSensor","motion-detected","31943"
"DoorSensor","false","31946"
"MotionSensor","motion-detected","31952"
"DoorSensor","false","31955"
"MotionSensor","motion-detected","31961"
"DoorSensor","false","31964"
"MotionSensor","motion-detected","31970"
"DoorSensor","false","31973"
"MotionSensor","motion-detected","31979"
"DoorSensor","false","31982"
"MotionSensor","motion-detected","31988"
"DoorSensor","false","31991"
"MotionSensor","motion-detected","31997"
"DoorSensor","false","32000"
"MotionSensor","motion-detected","32006"
"DoorSensor","false","32009"
"MotionSensor","motion-detected","32015"
"DoorSensor","false","32018"
"MotionSensor","motion-detected","32024"
"DoorSensor","false","32027"
"MotionSensor","motion-detected","32033"
"DoorSensor","false","32036"
"MotionSensor","motion-detected","32042"
"DoorSensor","false","32045"
"MotionSensor","motion-detected","32051"
"DoorSensor","false","32054"
"MotionSensor","motion-detected","32060"
"DoorSensor","false","32063"
"MotionSensor","motion-detected","32069"
"DoorSensor","false","32072"
"MotionSensor","motion-detected","32078"
"DoorSensor","false","32081"
"MotionSensor","motion-detected","32087"
"DoorSensor","false","32090"
"MotionSensor","motion-detected","32096"
"DoorSensor","false","32099"
"MotionSensor","motion-detected","32105"
"DoorSensor","false","32108"
"MotionSensor","motion-detected","32114"
"DoorSensor","false","32117"
"MotionSensor","motion-detected","32123"
"DoorSensor","false","32126"
"MotionSensor","motion-detected","32132"
"DoorSensor","false","32135"
"MotionSensor","motion-detected","32141"
"DoorSensor","false","32144"
"MotionSensor","motion-detected","32150"
"DoorSensor","false","32153"
"MotionSensor","motion-detected","32159"
"DoorSensor","false","32162"
"MotionSensor","motion-detected","32168"
"DoorSensor","false","32171"
"MotionSensor","motion-detected","32177"
"DoorSensor","false","32180"
"MotionSensor","motion-detected","32186"
"DoorSensor","false","32189"
"MotionSensor","motion-detected","32195"
"DoorSensor","false","32198"
"MotionSensor","motion-detected","32204"
"DoorSensor","false","32207"
"MotionSensor","motion-detected","32213"
"DoorSensor","false","32216"
"MotionSensor","motion-detected","32222"
"DoorSensor","false","32225"
"MotionSensor","motion-detected","32231"
"DoorSensor","false","32234"
"MotionSensor","motion-detected","32240"
"DoorSensor","false","32243"
"MotionSensor","motion-detected","32249"
"DoorSensor","false","32252"
"MotionSensor","motion-detected","32258"
"DoorSensor","false","32261"
"MotionSensor","motion-detected","32267"
"DoorSensor","false","32270"
"MotionSensor","motion-detected","32276"
"DoorSensor","false","32279"
